City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ketchikan,55.3431,-131.6467,290.41,67,100,5.66,US,2023-07-23
1,bethel,60.7922,-161.7558,287.34,82,100,3.6,US,2023-07-23
2,yellowknife,62.4541,-114.3774,294.94,40,33,4.47,CA,2023-07-23
3,federacion,-29.4358,-66.8523,287.58,41,90,3.54,AR,2023-07-23
4,blackmans bay,-43.0047,147.318,285.73,83,83,1.92,AU,2023-07-23
5,margaret river,-33.9532,115.0769,282.59,80,0,4.94,AU,2023-07-23
6,invercargill,-46.4118,168.3471,281.91,92,99,0.71,NZ,2023-07-23
7,nagqu,31.4786,92.0498,278.13,94,100,1.77,CN,2023-07-23
8,lescar,43.3334,-0.4357,293.46,100,75,4.12,FR,2023-07-23
9,hamilton,43.2559,-79.8651,300.07,56,20,2.57,CA,2023-07-23
10,turtas,58.9376,69.1315,288.25,95,100,0.82,RU,2023-07-23
11,punta arenas,-53.1626,-70.9078,272.46,83,8,2.95,CL,2023-07-23
12,waitangi,-35.2705,174.0805,287.9,88,4,4.08,NZ,2023-07-23
13,papatowai,-46.5619,169.4708,282.49,93,98,0.84,NZ,2023-07-23
14,ust-nera,64.5664,143.2378,290.39,56,34,0.95,RU,2023-07-23
15,avarua,-21.2075,-159.7708,300.14,89,75,5.66,CK,2023-07-23
16,tralee,52.2693,-9.7054,286.12,95,69,2.3,IE,2023-07-23
17,loikaw,19.6742,97.2094,293.38,96,8,1.02,MM,2023-07-23
18,grytviken,-54.2806,-36.5098,267.04,77,26,3.79,GS,2023-07-23
19,walvis bay,-22.9543,14.5075,284.31,75,20,2.82,NA,2023-07-23
20,edinburgh of the seven seas,-37.0676,-12.3108,286.59,82,58,10.83,SH,2023-07-23
21,copan,14.7928,-89.1355,296.4,93,98,1.53,HN,2023-07-23
22,ressano garcia,-25.442,31.9913,290.8,53,81,2.04,ZA,2023-07-23
23,awjilah,29.1403,21.2975,304.83,31,0,3.84,LY,2023-07-23
24,hawaiian paradise park,19.5933,-154.9731,301.33,81,75,5.14,US,2023-07-23
25,mount gambier,-37.8247,140.782,284.44,85,100,1.34,AU,2023-07-23
26,la passe,46.2035,-1.4601,293.68,90,100,7.74,FR,2023-07-23
27,morondava,-20.2951,44.2786,292.98,74,0,2.47,MG,2023-07-23
28,georgetown,6.8137,-58.1624,300.31,80,19,2.59,GY,2023-07-23
29,bredasdorp,-34.5331,20.0428,282.71,74,55,2.76,ZA,2023-07-23
30,adamstown,-25.0667,-130.1002,293.58,69,22,7.65,PN,2023-07-23
31,tucurui,-3.7739,-49.6708,299.91,46,62,1.43,BR,2023-07-23
32,ballina,-28.8657,153.5659,288.03,68,100,6.59,AU,2023-07-23
33,vila franca do campo,37.7172,-25.4335,295.38,83,42,3.18,PT,2023-07-23
34,port mathurin,-19.6808,63.4221,296.27,74,9,7.43,MU,2023-07-23
35,aliabad,34.0361,48.1591,295.36,18,20,0.81,IR,2023-07-23
36,kapa'a,-33.9258,18.4232,285.03,83,20,1.54,ZA,2023-07-23
37,belmonte,39.5593,-2.7038,296.42,23,8,0.91,ES,2023-07-23
38,gimbi,8.8063,37.7882,284.96,89,100,1.5,ET,2023-07-23
39,port-aux-francais,-49.3498,70.22,278.87,90,80,15.36,TF,2023-07-23
40,kailua-kona,19.6419,-155.9969,303.13,83,40,5.14,US,2023-07-23
41,kavala,40.9369,24.4123,299.38,49,10,2.24,GR,2023-07-23
42,gobabis,-22.4495,18.9725,286.06,41,13,0.63,NA,2023-07-23
43,iqaluit,63.7494,-68.5219,283.12,71,40,3.6,CA,2023-07-23
44,whitehorse,60.7216,-135.0549,295.98,33,78,4.05,CA,2023-07-23
45,hayma',15.4662,44.2266,296.22,38,100,1.58,YE,2023-07-23
46,constantia,44.1767,28.6508,291.62,63,0,1.86,RO,2023-07-23
47,hammerfest,70.6413,23.8361,280.59,81,0,5.14,NO,2023-07-23
48,dejen,10.1641,38.15,285.87,87,100,2.23,ET,2023-07-23
49,mansa,-11.2007,28.8894,287.87,63,0,2.85,ZM,2023-07-23
50,udachny,66.4118,112.2517,292.48,63,89,3.13,RU,2023-07-23
51,ilulissat,69.2197,-51.0986,281.31,87,100,2.57,GL,2023-07-23
52,meadow lakes,37.0802,-119.4307,309.36,23,99,4.04,US,2023-07-23
53,port elizabeth,-33.9624,25.6232,285.44,76,0,6.69,ZA,2023-07-23
54,lihue,21.977,-159.3688,303.0,72,75,6.17,US,2023-07-23
55,puerto natales,-51.7262,-72.506,270.26,91,9,1.72,CL,2023-07-23
56,ushuaia,-54.8061,-68.3185,268.28,92,44,1.47,AR,2023-07-23
57,stanley,-51.6951,-57.8492,272.34,71,98,7.94,FK,2023-07-23
58,'ohonua,-21.3413,-174.9561,297.19,68,4,6.79,TO,2023-07-23
59,suai,-9.3097,125.2546,295.14,85,99,3.03,TL,2023-07-23
60,longyearbyen,78.22,15.65,284.21,71,40,6.17,SJ,2023-07-23
61,hasaki,35.753,140.8201,300.53,73,79,2.78,JP,2023-07-23
62,peniscola,40.3576,0.4071,301.5,73,39,3.71,ES,2023-07-23
63,ciudad mante,22.7411,-98.9714,309.41,38,22,8.78,MX,2023-07-23
64,birjand,32.8634,59.2177,293.8,26,0,4.7,IR,2023-07-23
65,jamestown,-15.9277,-5.7161,292.11,67,8,8.89,SH,2023-07-23
66,st. john's,47.5615,-52.7126,295.59,90,87,3.18,CA,2023-07-23
67,puerto ayora,-0.7472,-90.3134,298.76,78,53,4.88,EC,2023-07-23
68,saldanha,-32.9978,17.9456,284.59,78,0,3.72,ZA,2023-07-23
69,peace river,56.2337,-117.2911,300.19,31,95,1.49,CA,2023-07-23
70,hadibu,12.6512,54.0237,297.97,81,100,12.52,YE,2023-07-23
71,west island,-12.1459,96.8423,298.18,83,40,5.66,CC,2023-07-23
72,newman,37.3139,-121.0204,312.28,7,99,5.6,US,2023-07-23
73,uturoa,-16.7437,-151.4594,296.94,76,46,5.44,PF,2023-07-23
74,whakatane,-37.9519,176.9946,285.89,83,28,2.83,NZ,2023-07-23
75,bilibino,68.055,166.4449,290.83,63,82,0.83,RU,2023-07-23
76,denbigh,53.1854,-3.4178,286.44,96,100,4.2,GB,2023-07-23
77,ribeira grande,37.8225,-25.5195,295.34,78,40,3.6,PT,2023-07-23
78,afaahiti,-17.739,-149.29,301.66,77,57,4.91,PF,2023-07-23
79,larne,54.8508,-5.8183,287.34,88,35,4.38,GB,2023-07-23
80,kitimat,54.0536,-128.6541,290.32,49,99,1.79,CA,2023-07-23
81,svetlyy,64.042,42.6973,285.39,99,98,2.1,RU,2023-07-23
82,olyokminsk,60.373,120.4388,297.15,55,0,0.88,RU,2023-07-23
83,qaqortoq,60.7182,-46.0385,283.29,86,50,0.98,GL,2023-07-23
84,luderitz,-26.65,15.1573,287.6,51,100,7.43,NA,2023-07-23
85,geraldton,-28.7704,114.6147,282.24,53,0,8.23,AU,2023-07-23
86,sambava,-14.255,50.1557,293.13,85,38,2.91,MG,2023-07-23
87,vorgashor,67.5812,63.7837,287.29,96,100,3.09,RU,2023-07-23
88,nar'yan-mar,67.638,53.0071,288.09,92,100,3.14,RU,2023-07-23
89,mangualde,40.6035,-7.7656,289.56,73,62,1.25,PT,2023-07-23
90,selfoss,63.9368,-21.0035,286.01,76,100,2.23,IS,2023-07-23
91,iskateley,67.6762,53.1292,287.96,94,100,3.14,RU,2023-07-23
92,kashmor,24.9034,74.5564,298.96,89,69,3.06,IN,2023-07-23
93,saipan,15.191,145.7467,300.26,100,40,4.63,MP,2023-07-23
94,mutoko,-17.4046,32.2256,283.13,78,0,1.07,ZW,2023-07-23
95,khandyga,62.6478,135.5751,294.95,69,13,0.68,RU,2023-07-23
96,flin flon,54.7698,-101.879,298.4,23,10,2.72,CA,2023-07-23
97,college,45.3266,-75.8386,300.72,48,20,2.68,CA,2023-07-23
98,meiganga,6.5172,14.2948,292.16,95,100,1.52,CM,2023-07-23
99,sanibel,26.449,-82.0223,306.51,68,43,1.79,US,2023-07-23
100,darwin,-12.4604,130.841,290.2,29,0,7.2,AU,2023-07-23
101,coquimbo,-29.9532,-71.338,288.08,88,20,2.57,CL,2023-07-23
102,badger,42.6144,-94.1462,301.16,44,0,2.06,US,2023-07-23
103,toliara,-23.3542,43.6697,291.41,91,2,2.59,MG,2023-07-23
104,fort bragg,35.1403,-79.1541,303.78,62,75,2.06,US,2023-07-23
105,carauari,-4.8766,-66.8961,301.07,56,37,0.97,BR,2023-07-23
106,ulanhot,46.0708,122.0698,293.17,79,100,1.95,CN,2023-07-23
107,petropavlovsk-kamchatsky,53.02,158.6471,293.21,74,39,8.45,RU,2023-07-23
108,veraval,20.9101,70.3653,300.11,88,98,7.44,IN,2023-07-23
109,tiksi,71.6366,128.8685,281.94,62,4,2.27,RU,2023-07-23
110,magadan,59.5605,150.7989,290.53,74,84,0.92,RU,2023-07-23
111,wailua homesteads,22.0581,-159.3691,302.74,78,75,6.17,US,2023-07-23
112,bouarfa,32.5329,-1.9632,303.14,10,0,2.61,MA,2023-07-23
113,korla,41.7239,86.1735,301.61,29,99,3.24,CN,2023-07-23
114,nuuk,64.175,-51.7355,284.55,81,19,4.63,GL,2023-07-23
115,fuglafjordur,62.2431,-6.8178,280.73,81,100,5.49,FO,2023-07-23
116,puerto aysen,-45.4068,-72.6977,272.92,97,99,1.66,CL,2023-07-23
117,price,39.6008,-110.8063,308.72,13,0,8.75,US,2023-07-23
118,ambovombe,-25.1784,46.0877,291.62,86,0,2.46,MG,2023-07-23
119,aykhal,65.9516,111.4918,292.79,63,93,4.42,RU,2023-07-23
120,inhambane,-23.866,35.3844,291.55,86,5,4.19,MZ,2023-07-23
121,hermanus,-34.4175,19.2361,285.19,65,47,2.65,ZA,2023-07-23
122,klyuchi,56.3182,160.8422,290.6,85,100,2.52,RU,2023-07-23
123,ghanzi,-21.6968,21.6457,290.12,32,6,4.29,BW,2023-07-23
124,otjimbingwe,-22.3556,16.125,289.5,36,8,0.78,NA,2023-07-23
125,flying fish cove,-10.4213,105.6744,297.39,88,100,5.66,CX,2023-07-23
126,salinopolis,-0.6259,-47.3443,299.27,82,30,4.35,BR,2023-07-23
127,howard springs,-12.497,131.047,290.1,27,38,6.38,AU,2023-07-23
128,albany,42.6512,-73.755,302.4,62,40,4.63,US,2023-07-23
129,longjiang,22.8903,113.0705,303.14,77,75,1.12,CN,2023-07-23
130,terme,43.0004,2.5621,295.95,92,65,1.53,FR,2023-07-23
131,daru,-9.0699,143.21,298.49,69,100,3.44,PG,2023-07-23
132,faya-largeau,17.9209,19.0953,306.54,19,36,2.78,TD,2023-07-23
133,ijuw,-0.5152,166.9573,301.81,71,2,2.22,NR,2023-07-23
134,keflavik,63.9998,-22.5565,284.39,93,75,1.54,IS,2023-07-23
135,tam ky,15.5674,108.4842,297.79,92,72,1.66,VN,2023-07-23
136,kodiak,57.79,-152.4072,290.88,68,0,4.12,US,2023-07-23
137,fort mcmurray,56.7292,-111.3885,299.91,48,100,2.97,CA,2023-07-23
138,tutong,4.8067,114.6595,298.13,92,100,2.29,BN,2023-07-23
139,tinajo,29.0667,-13.6762,294.95,73,40,6.17,ES,2023-07-23
140,nokha,27.5575,73.4724,305.02,58,100,3.85,IN,2023-07-23
141,san jose del cabo,23.0598,-109.7025,305.8,73,100,4.12,MX,2023-07-23
142,caleta de carquin,-11.0918,-77.6283,293.37,78,3,4.68,PE,2023-07-23
143,villa madero,-34.6884,-58.4999,285.94,64,100,4.13,AR,2023-07-23
144,bereznik,62.8555,42.7101,285.26,98,100,2.19,RU,2023-07-23
145,hithadhoo,1.7959,73.3876,301.24,75,5,3.86,MV,2023-07-23
146,bouna,9.273,-2.997,296.38,94,56,1.85,CI,2023-07-23
147,kupang,-10.1632,123.6018,296.84,72,100,7.73,ID,2023-07-23
148,ancud,-41.8682,-73.8287,277.98,83,100,4.08,CL,2023-07-23
